|"id"|"Completado"|"Última página vista"|"Lenguaje inicial"|"Contraseña"|"Municipio "|"Facultad"|"Programa"|"Semestre"|"Genero"|"[¿Cómo califica Usted la Formación Académica impartida por el Programa al que pertenece?] 
	Marque la opción según corresponda, calificando los siguientes aspectos del Programa al cual usted pertenece, en un rango de 1 a 5 donde:

	5= Excelente  4=Bueno  3= Regular,  2= Malo  1= Muy Malo"|"[¿Considera Usted que los conocimientos  adquiridos  en su programa  académico,  son acordes a las necesidades  y expectativas de la región? ] 
	Marque la opción según corresponda, calificando los siguientes aspectos del Programa al cual usted pertenece, en un rango de 1 a 5 donde:

	5= Excelente  4=Bueno  3= Regular,  2= Malo  1= Muy Malo"|"[¿Cómo califica la programación de los horarios de clase ?] 
	Marque la opción según corresponda, calificando los siguientes aspectos del Programa al cual usted pertenece, en un rango de 1 a 5 donde:

	5= Excelente  4=Bueno  3= Regular,  2= Malo  1= Muy Malo"|"[¿Cómo califica Usted  el material bibliográfico existente en su Programa?] 
	Marque la opción según corresponda, calificando los siguientes aspectos del Programa al cual usted pertenece, en un rango de 1 a 5 donde:

	5= Excelente  4=Bueno  3= Regular,  2= Malo  1= Muy Malo"|"[¿Cómo califica Usted  las ayudas didácticas existentes en su Programa?] 
	Marque la opción según corresponda, calificando los siguientes aspectos del Programa al cual usted pertenece, en un rango de 1 a 5 donde:

	5= Excelente  4=Bueno  3= Regular,  2= Malo  1= Muy Malo"|"[¿Cómo califica Usted la atención del personal administrativo del Programa al que pertenece?] 
	Marque la opción según corresponda, calificando los siguientes aspectos del Programa al cual usted pertenece, en un rango de 1 a 5 donde:

	5= Excelente  4=Bueno  3= Regular,  2= Malo  1= Muy Malo"|"[¿Cómo califica Usted la atención del personal administrativo de la Facultad a la que pertenece?] 
	Marque la opción según corresponda, calificando los siguientes aspectos del Programa al cual usted pertenece, en un rango de 1 a 5 donde:

	5= Excelente  4=Bueno  3= Regular,  2= Malo  1= Muy Malo"|"[¿Cómo califica Usted el cumplimiento de horarios del personal docente en su Programa Académico?] 
	Marque la opción según corresponda, calificando los siguientes aspectos del Programa al cual usted pertenece, en un rango de 1 a 5 donde:

	5= Excelente  4=Bueno  3= Regular,  2= Malo  1= Muy Malo"|"[¿Cómo califica Usted la metodología de enseñanza de los docentes de su Programa?] 
	Marque la opción según corresponda, calificando los siguientes aspectos del Programa al cual usted pertenece, en un rango de 1 a 5 donde:

	5= Excelente  4=Bueno  3= Regular,  2= Malo  1= Muy Malo"|"[¿Cómo califica Usted a los docentes de la Universidad en cuanto a dominio de los cursos?] 
	Marque la opción según corresponda, calificando los siguientes aspectos del Programa al cual usted pertenece, en un rango de 1 a 5 donde:

	5= Excelente  4=Bueno  3= Regular,  2= Malo  1= Muy Malo"|"[¿Cómo califica Usted a los docentes en cuanto a la vocación de servicio?] 
	Marque la opción según corresponda, calificando los siguientes aspectos del Programa al cual usted pertenece, en un rango de 1 a 5 donde:

	5= Excelente  4=Bueno  3= Regular,  2= Malo  1= Muy Malo"|"[¿Cómo califica Usted la gestión de los directivos de la Universidad?] 
	Marque la opción según corresponda, calificando los siguientes aspectos del Programa al cual usted pertenece, en un rango de 1 a 5 donde:

	5= Excelente  4=Bueno  3= Regular,  2= Malo  1= Muy Malo"|"[¿Cómo califica Usted la cantidad actual de computadores en su Facultad?] 
	Marque la opción según corresponda, calificando los siguientes aspectos del Programa al cual usted pertenece, en un rango de 1 a 5 donde:

	5= Excelente  4=Bueno  3= Regular,  2= Malo  1= Muy Malo"|"[¿Cómo califica Usted la infraestructura de las aulas de clase, auditorios, espacios de estudio y su equipamiento?] 
	Marque la opción según corresponda, calificando los siguientes aspectos del Programa al cual usted pertenece, en un rango de 1 a 5 donde:

	5= Excelente  4=Bueno  3= Regular,  2= Malo  1= Muy Malo"|"[¿Cómo califica Usted el estado de aseo y mantenimiento de las aulas de clase, auditorios, espacios de estudio y baños de su Facultad?] 
	Marque la opción según corresponda, calificando los siguientes aspectos del Programa al cual usted pertenece, en un rango de 1 a 5 donde:

	5= Excelente  4=Bueno  3= Regular,  2= Malo  1= Muy Malo"|"¿Cómo califica Usted  las prácticas académicas desarrolladas en su Programa?
(si califica menor de 3 explicar por qué)"|"Justifique la respuesta anterior"|"¿De la Formación Académica ofrecida por su Programa que le gustaría que se mejore prioritariamente?"|"
"
104|239|"2015-11-05 10:58:54"|1|"es"||"Pasto "|"Facultad de Ciencias Pecuarias"|"Ingeniería en Producción Acuícola"|1|"Masculino"|"5=Excelente"|"3=Regular"|"5=Excelente"|"4=Bueno"|"4=Bueno"|"3=Regular"|"4=Bueno"|"5=Excelente"|"4=Bueno"|"4=Bueno"|"3=Regular"|"3=Regular"|"2=Malo"|"3=Regular"|"5=Excelente"|"4=Bueno"||"hace falta computadores y mejoramiento de ellos."|
105|240|"2015-11-05 11:02:08"|1|"es"||"Pasto "|"Facultad de Ciencias Pecuarias"|"Ingeniería en Producción Acuícola"|1|"Masculino"|"4=Bueno"|"3=Regular"|"3=Regular"|"4=Bueno"|"4=Bueno"|"5=Excelente"|"5=Excelente"|"3=Regular"|"3=Regular"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"3=Regular"|"2=Malo"|"4=Bueno"|"2=Malo"|"No se ha tenido muchas salidas y cuando hay no llevan a todos los estudiantes"|"enfocar más a materias de la carrera"|
106|241|"2015-11-05 11:04:23"|1|"es"||"Pasto "|"Facultad de Ciencias Pecuarias"|"Ingeniería en Producción Acuícola"|1|"Masculino"|"5=Excelente"|"5=Excelente"|"4=Bueno"|"5=Excelente"|"3=Regular"|"5=Excelente"|"5=Excelente"|"5=Excelente"|"5=Excelente"|"5=Excelente"|"5=Excelente"|"5=Excelente"|"3=Regular"|"4=Bueno"|"4=Bueno"|"5=Excelente"||"enfatizar en lo mas importantes y lo que sirva para la carrera"|
107|242|"2015-11-05 11:07:31"|1|"es"||"Pasto "|"Facultad de Ciencias Pecuarias"|"Ingeniería en Producción Acuícola"|1|"Femenino"|"5=Excelente"|"5=Excelente"|"3=Regular"|"5=Excelente"|"4=Bueno"|"5=Excelente"|"5=Excelente"|"4=Bueno"|"4=Bueno"|"5=Excelente"|"5=Excelente"|"4=Bueno"|"3=Regular"|"5=Excelente"|"5=Excelente"|"5=Excelente"||"mejorar la metodología de algunos profesores"|
108|243|"2015-11-05 11:10:10"|1|"es"||"Pasto "|"Facultad de Ciencias Pecuarias"|"Ingeniería en Producción Acuícola"|1|"Masculino"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"3=Regular"|"3=Regular"|"4=Bueno"|"4=Bueno"|"3=Regular"|"3=Regular"|"4=Bueno"|"4=Bueno"||"cambien algunos profesores su metodología de enseñanza"|
109|244|"2015-11-05 11:30:57"|1|"es"||"Pasto "|"Facultad de Ciencias Pecuarias"|"Ingeniería en Producción Acuícola"|1|"Masculino"|"5=Excelente"|"4=Bueno"|"5=Excelente"|"4=Bueno"|"3=Regular"|"5=Excelente"|"5=Excelente"|"5=Excelente"|"4=Bueno"|"5=Excelente"|"5=Excelente"|"4=Bueno"|"3=Regular"|"4=Bueno"|"4=Bueno"|"4=Bueno"||"más computadores"|
110|245|"2015-11-05 11:35:43"|1|"es"||"Pasto "|"Facultad de Ciencias Pecuarias"|"Ingeniería en Producción Acuícola"|1|"Masculino"|"5=Excelente"|"5=Excelente"|"3=Regular"|"5=Excelente"|"3=Regular"|"5=Excelente"|"5=Excelente"|"5=Excelente"|"4=Bueno"|"5=Excelente"|"5=Excelente"|"5=Excelente"|"3=Regular"|"3=Regular"|"5=Excelente"|"5=Excelente"||"las aulas ubicadas al lado del rio anfiteatro zootecnia produce malos olores"|
111|246|"2015-11-05 11:38:17"|1|"es"||"Pasto "|"Facultad de Ciencias Pecuarias"|"Ingeniería en Producción Acuícola"|1|"Masculino"|"4=Bueno"|"2=Malo"|"3=Regular"|"4=Bueno"|"1=Muy Malo"|"5=Excelente"|"5=Excelente"|"5=Excelente"|"3=Regular"|"3=Regular"|"4=Bueno"|"NS/NR"|"2=Malo"|"4=Bueno"|"5=Excelente"|"NS/NR"||"mejkorar la metodologia y los horarios"|
112|247|"2015-11-05 11:40:18"|1|"es"||"Pasto "|"Facultad de Ciencias Pecuarias"|"Ingeniería en Producción Acuícola"|1|"Femenino"|"5=Excelente"|"4=Bueno"|"3=Regular"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"3=Regular"|"4=Bueno"|"4=Bueno"||"mejorar los horarios y la metodología de algunos profesores."|
113|248|"2015-11-05 11:41:58"|1|"es"||"Pasto "|"Facultad de Ciencias Pecuarias"|"Ingeniería en Producción Acuícola"|1|"Femenino"|"5=Excelente"|"4=Bueno"|"3=Regular"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"3=Regular"|"3=Regular"|"4=Bueno"|"4=Bueno"||"loa horarios que sea una sola jornada"|
114|249|"2015-11-05 11:44:39"|1|"es"||"Pasto "|"Facultad de Ciencias Pecuarias"|"Ingeniería en Producción Acuícola"|1|"Femenino"|"5=Excelente"|"5=Excelente"|"4=Bueno"|"5=Excelente"|"4=Bueno"|"3=Regular"|"3=Regular"|"4=Bueno"|"3=Regular"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"3=Regular"|"4=Bueno"|"4=Bueno"|"5=Excelente"||"mejorar la metodologia de algunos profesores"|
115|250|"2015-11-05 11:47:03"|1|"es"||"Pasto "|"Facultad de Ciencias Pecuarias"|"Ingeniería en Producción Acuícola"|1|"Femenino"|"3=Regular"|"5=Excelente"|"5=Excelente"|"5=Excelente"|"5=Excelente"|"5=Excelente"|"5=Excelente"|"5=Excelente"|"3=Regular"|"4=Bueno"|"5=Excelente"|"5=Excelente"|"5=Excelente"|"5=Excelente"|"5=Excelente"|"4=Bueno"||"metodologia de algunos profesores"|
116|251|"2015-11-05 11:49:05"|1|"es"||"Pasto "|"Facultad de Ciencias Pecuarias"|"Ingeniería en Producción Acuícola"|1|"Masculino"|"4=Bueno"|"4=Bueno"|"2=Malo"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"5=Excelente"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"3=Regular"|"3=Regular"|"4=Bueno"|"4=Bueno"||"los horarios una sola jornada y metodologia de algunos docentes"|
117|259|"2015-11-07 11:13:52"|1|"es"||"Pasto "|"Facultad de Ciencias Pecuarias"|"Ingeniería en Producción Acuícola"|3|"Femenino"|"4=Bueno"|"4=Bueno"|"1=Muy Malo"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"5=Excelente"|"5=Excelente"|"3=Regular"|"3=Regular"|"4=Bueno"|"3=Regular"|"2=Malo"|"2=Malo"|"4=Bueno"|"4=Bueno"||"la formacion academica es buena, alguna metodologia es mala"|
118|260|"2015-11-07 11:17:38"|1|"es"||"Pasto "|"Facultad de Ciencias Pecuarias"|"Ingeniería en Producción Acuícola"|3|"Femenino"|"4=Bueno"|"3=Regular"|"2=Malo"|"5=Excelente"|"3=Regular"|"5=Excelente"|"4=Bueno"|"5=Excelente"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"3=Regular"|"2=Malo"|"2=Malo"|"4=Bueno"|"3=Regular"|"la teoria debe hacerse mas practica en cada semestre"|"mejorara los horarios"|
119|261|"2015-11-07 11:21:26"|1|"es"||"Pasto "|"Facultad de Ciencias Pecuarias"|"Ingeniería en Producción Acuícola"|3|"Femenino"|"4=Bueno"|"3=Regular"|"4=Bueno"|"5=Excelente"|"5=Excelente"|"5=Excelente"|"4=Bueno"|"3=Regular"|"2=Malo"|"3=Regular"|"2=Malo"|"4=Bueno"|"1=Muy Malo"|"2=Malo"|"4=Bueno"|"2=Malo"|"no se brindan los recursos y ayudas necesarias para los estudiantes"|"materias no tienen las horas necesarias para su aprendizaje y demasiados estudiantes en un curso"|
120|262|"2015-11-07 11:23:35"|1|"es"||"Pasto "|"Facultad de Ciencias Pecuarias"|"Ingeniería en Producción Acuícola"|3|"Femenino"|"4=Bueno"|"4=Bueno"|"3=Regular"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"3=Regular"|"4=Bueno"|"4=Bueno"|"4=Bueno"||"mejore los horarios academicos implementar más horas de laboratorio"|
121|263|"2015-11-07 11:25:41"|1|"es"||"Pasto "|"Facultad de Ciencias Pecuarias"|"Ingeniería en Producción Acuícola"|3|"Femenino"|"4=Bueno"|"5=Excelente"|"3=Regular"|"5=Excelente"|"5=Excelente"|"5=Excelente"|"5=Excelente"|"4=Bueno"|"4=Bueno"|"5=Excelente"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"5=Excelente"|"4=Bueno"||"mejorar la pedagogía de algunos profesores"|
122|264|"2015-11-07 11:28:18"|1|"es"||"Pasto "|"Facultad de Ciencias Pecuarias"|"Ingeniería en Producción Acuícola"|3|"Femenino"|"4=Bueno"|"3=Regular"|"4=Bueno"|"3=Regular"|"3=Regular"|"3=Regular"|"3=Regular"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"3=Regular"|"3=Regular"|"3=Regular"|"2=Malo"|"4=Bueno"|"4=Bueno"||"mejorar la infraestructura."|
123|267|"2015-11-07 13:42:38"|1|"es"||"Pasto "|"Facultad de Ciencias Exactas y Naturales"|"Física"|7|"Masculino"|"4=Bueno"|"4=Bueno"|"3=Regular"|"3=Regular"|"4=Bueno"|"4=Bueno"|"NS/NR"|"4=Bueno"|"3=Regular"|"4=Bueno"|"4=Bueno"|"NS/NR"|"3=Regular"|"3=Regular"|"3=Regular"|"4=Bueno"||"Se felicita la formación académica de cada profesor, pero se pide encarecidamente que transmitan sus conocimientos de una manera que nos llegue y se pueda comprender con mayor facilidad; ya que a veces son muy abstractos y eso nos perjudica en gran manera...Muchas gracias... "|
124|272|"2015-11-09 10:36:45"|1|"es"||"Pasto "|"Facultad de Ciencias Exactas y Naturales"|"Física"|7|"Masculino"|"5=Excelente"|"5=Excelente"|"3=Regular"|"4=Bueno"|"3=Regular"|"4=Bueno"|"NS/NR"|"4=Bueno"|"3=Regular"|"4=Bueno"|"4=Bueno"|"NS/NR"|"NS/NR"|"4=Bueno"|"4=Bueno"|"4=Bueno"||"metodologia de enseñanza"|
125|273|"2015-11-09 11:45:21"|1|"es"||"Pasto "|"Facultad de Ciencias Pecuarias"|"Ingeniería en Producción Acuícola"|3|"Masculino"|"4=Bueno"|"3=Regular"|"3=Regular"|"3=Regular"|"4=Bueno"|"5=Excelente"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"3=Regular"|"3=Regular"|"3=Regular"|"3=Regular"|"3=Regular"|"5=Excelente"|"4=Bueno"||"los horarios de clase"|
126|274|"2015-11-09 11:49:24"|1|"es"||"Pasto "|"Facultad de Ciencias Pecuarias"|"Ingeniería en Producción Acuícola"|3|"Femenino"|"4=Bueno"|"4=Bueno"|"3=Regular"|"4=Bueno"|"3=Regular"|"4=Bueno"|"4=Bueno"|"3=Regular"|"3=Regular"|"3=Regular"|"4=Bueno"|"4=Bueno"|"3=Regular"|"3=Regular"|"3=Regular"|"3=Regular"|"nos den más practicas"|"que los horarios sean mas homogéneos y que no se enseñe con mucha diapositiva"|
127|275|"2015-11-09 11:53:29"|1|"es"||"Pasto "|"Facultad de Ciencias Pecuarias"|"Ingeniería en Producción Acuícola"|3|"Masculino"|"3=Regular"|"2=Malo"|"3=Regular"|"2=Malo"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"3=Regular"|"3=Regular"|"4=Bueno"|"4=Bueno"|"2=Malo"|"3=Regular"|"3=Regular"|"3=Regular"|"faltan mas practicas"|"mejorar algunos profesores que no saben llevar con coherencia las clases "|
128|276|"2015-11-09 11:57:18"|1|"es"||"Pasto "|"Facultad de Ciencias Pecuarias"|"Ingeniería en Producción Acuícola"|3|"Femenino"|"4=Bueno"|"4=Bueno"|"3=Regular"|"5=Excelente"|"4=Bueno"|"5=Excelente"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"3=Regular"|"4=Bueno"|"5=Excelente"|"3=Regular"|"falta de transporte para las practicas"|"mejorar los computadores y el internet"|
129|277|"2015-11-09 12:00:57"|1|"es"||"Pasto "|"Facultad de Ciencias Pecuarias"|"Ingeniería en Producción Acuícola"|3|"Femenino"|"4=Bueno"|"5=Excelente"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"5=Excelente"|"5=Excelente"|"5=Excelente"|"4=Bueno"|"4=Bueno"|"5=Excelente"|"3=Regular"|"3=Regular"|"5=Excelente"|"5=Excelente"|"5=Excelente"||"los equipos de laboratorio y el internet"|
130|280|"2015-11-10 07:45:53"|1|"es"||"Pasto "|"Facultad de Ciencias Exactas y Naturales"|"Biología"|10|"Masculino"|"4=Bueno"|"4=Bueno"|"1=Muy Malo"|"2=Malo"|"NS/NR"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"2=Malo"|"3=Regular"|"1=Muy Malo"|"4=Bueno"|"3=Regular"|"3=Regular"|"3=Regular"|"5=Excelente"||"que se les enseñe pedagogia a algunos profesor, tambien valores, para que no sientan prepotentemente superiores a los demas. "|
131|281|"2015-11-10 07:44:45"|1|"es"||"Pasto "|"Facultad de Ciencias Exactas y Naturales"|"Biología"|4|"Femenino"|"5=Excelente"|"5=Excelente"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"5=Excelente"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"NS/NR"|"3=Regular"|"4=Bueno"|"4=Bueno"||"Me parece que el programa se encuentra bien estructurado."|
132|282|"2015-11-10 08:17:26"|1|"es"||"Pasto "|"Facultad de Ciencias Exactas y Naturales"|"Biología"|6|"Femenino"|"5=Excelente"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"3=Regular"|"3=Regular"|"3=Regular"|"4=Bueno"||"Me gustaría que la enseñanza vaya un poco mas dirigida a la parte práctica.  "|
133|285|"2015-11-10 09:18:45"|1|"es"||"Pasto "|"Facultad de Ciencias Exactas y Naturales"|"Biología"|4|"Masculino"|"4=Bueno"|"3=Regular"|"3=Regular"|"4=Bueno"|"3=Regular"|"4=Bueno"|"4=Bueno"|"3=Regular"|"3=Regular"|"4=Bueno"|"3=Regular"|"3=Regular"|"3=Regular"|"3=Regular"|"3=Regular"|"4=Bueno"||"Mayor presencia de los profesores."|
134|286|"2015-11-10 09:36:52"|1|"es"||"Pasto "|"Facultad de Ciencias Pecuarias"|"Ingeniería en Producción Acuícola"|3|"Femenino"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"3=Regular"|"5=Excelente"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"3=Regular"|"3=Regular"|"4=Bueno"|"4=Bueno"|"4=Bueno"||"que se mejoren las practicas académicas debido a que son muy pocas.  "|
135|287|"2015-11-10 09:43:12"|1|"es"||"Pasto "|"Facultad de Ciencias Pecuarias"|"Ingeniería en Producción Acuícola"|3|"Femenino"|"5=Excelente"|"5=Excelente"|"4=Bueno"|"5=Excelente"|"4=Bueno"|"5=Excelente"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"3=Regular"|"3=Regular"|"4=Bueno"|"4=Bueno"||"que se extiendan o se brinden las horas adecuadas para el desarrollo de practicas en laboratorio"|
136|288|"2015-11-10 09:48:04"|1|"es"||"Pasto "|"Facultad de Ciencias Pecuarias"|"Ingeniería en Producción Acuícola"|3|"Femenino"|"4=Bueno"|"4=Bueno"|"2=Malo"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"3=Regular"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"3=Regular"|"4=Bueno"|"4=Bueno"|"4=Bueno"||"los horarios de clase que sean una sola jornada."|
137|289|"2015-11-10 09:51:16"|1|"es"||"Pasto "|"Facultad de Ciencias Pecuarias"|"Ingeniería en Producción Acuícola"|3|"Masculino"|"5=Excelente"|"4=Bueno"|"2=Malo"|"4=Bueno"|"3=Regular"|"5=Excelente"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"5=Excelente"|"3=Regular"|"4=Bueno"|"5=Excelente"|"5=Excelente"||"mejorar los horarios, implementación en laboratorios mayores computadores"|
138|290|"2015-11-10 09:53:31"|1|"es"||"Pasto "|"Facultad de Ciencias Pecuarias"|"Ingeniería en Producción Acuícola"|3|"Femenino"|"5=Excelente"|"4=Bueno"|"3=Regular"|"4=Bueno"|"3=Regular"|"5=Excelente"|"4=Bueno"|"5=Excelente"|"5=Excelente"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"3=Regular"|"4=Bueno"|"5=Excelente"|"5=Excelente"||"mejorar la programación de los horarios de clase siendo de una sola jornada"|
139|291|"2015-11-10 09:57:27"|1|"es"||"Pasto "|"Facultad de Ciencias Pecuarias"|"Ingeniería en Producción Acuícola"|5|"Masculino"|"4=Bueno"|"2=Malo"|"2=Malo"|"4=Bueno"|"4=Bueno"|"5=Excelente"|"5=Excelente"|"4=Bueno"|"3=Regular"|"3=Regular"|"4=Bueno"|"3=Regular"|"4=Bueno"|"4=Bueno"|"5=Excelente"|"4=Bueno"||"la forma de enseñanza de algunos profesores"|
140|292|"2015-11-10 10:00:12"|1|"es"||"Pasto "|"Facultad de Ciencias Pecuarias"|"Ingeniería en Producción Acuícola"|5|"Masculino"|"5=Excelente"|"3=Regular"|"3=Regular"|"5=Excelente"|"4=Bueno"|"5=Excelente"|"4=Bueno"|"5=Excelente"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"3=Regular"|"5=Excelente"|"5=Excelente"|"4=Bueno"||"el desarrollo académico acorde al entorno profesional con sus desafíos y cuellos de botella"|
141|293|"2015-11-10 10:04:28"|1|"es"||"Pasto "|"Facultad de Ciencias Pecuarias"|"Ingeniería en Producción Acuícola"|5|"Masculino"|"5=Excelente"|"5=Excelente"|"1=Muy Malo"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"3=Regular"|"4=Bueno"|"1=Muy Malo"|"2=Malo"|"3=Regular"|"2=Malo"|"se presentan en muy bajas proporciones se deberían desarrollar con mas frecuencia"|"mejorar la intensidad horaria y el pensum a mateias que son prerequisitos."|
142|294|"2015-11-10 10:08:46"|1|"es"||"Pasto "|"Facultad de Ciencias Pecuarias"|"Ingeniería en Producción Acuícola"|5|"Masculino"|"4=Bueno"|"3=Regular"|"1=Muy Malo"|"4=Bueno"|"3=Regular"|"5=Excelente"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"3=Regular"|"4=Bueno"|"2=Malo"|"2=Malo"|"5=Excelente"|"2=Malo"|"las practicas no son regulares y a veces no se cumplen"|"las practicas y la infraestructura."|
143|295|"2015-11-10 10:14:21"|1|"es"||"Pasto "|"Facultad de Ciencias Pecuarias"|"Ingeniería en Producción Acuícola"|5|"Femenino"|"3=Regular"|"3=Regular"|"3=Regular"|"3=Regular"|"3=Regular"|"5=Excelente"|"5=Excelente"|"4=Bueno"|"3=Regular"|"3=Regular"|"2=Malo"|"3=Regular"|"3=Regular"|"3=Regular"|"3=Regular"|"3=Regular"|"mejorar el servicio de transporte"|"en cuanto a profesores, profesores especializados para cada materia y no por relleno."|
144|296|"2015-11-10 10:16:44"|1|"es"||"Pasto "|"Facultad de Ciencias Pecuarias"|"Ingeniería en Producción Acuícola"|5|"Femenino"|"4=Bueno"|"4=Bueno"|"3=Regular"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"3=Regular"|"4=Bueno"|"4=Bueno"|"4=Bueno"||"mejorar los horarios de clase"|
145|297|"2015-11-10 10:18:30"|1|"es"||"Pasto "|"Facultad de Ciencias Pecuarias"|"Ingeniería en Producción Acuícola"|5|"Masculino"|"4=Bueno"|"NS/NR"|"2=Malo"|"5=Excelente"|"5=Excelente"|"5=Excelente"|"4=Bueno"|"5=Excelente"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"5=Excelente"|"4=Bueno"||"el pensum"|
146|298|"2015-11-10 10:22:48"|1|"es"||"Pasto "|"Facultad de Ciencias Pecuarias"|"Ingeniería en Producción Acuícola"|5|"Femenino"|"3=Regular"|"3=Regular"|"3=Regular"|"4=Bueno"|"3=Regular"|"5=Excelente"|"4=Bueno"|"3=Regular"|"2=Malo"|"3=Regular"|"3=Regular"|"4=Bueno"|"3=Regular"|"3=Regular"|"4=Bueno"|"3=Regular"|"mayor numero de practicas"|"mejorar la metodología de algunos profesores"|
147|299|"2015-11-10 10:28:55"|1|"es"||"Pasto "|"Facultad de Ciencias Pecuarias"|"Ingeniería en Producción Acuícola"|5|"Masculino"|"4=Bueno"|"5=Excelente"|"4=Bueno"|"5=Excelente"|"4=Bueno"|"5=Excelente"|"5=Excelente"|"5=Excelente"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"5=Excelente"|"5=Excelente"|"5=Excelente"|"3=Regular"|"el transporte el dificil conseguirlo para las practicas"|"mas tiempo para las practicas no se logra realizar todas las actividades."|
148|300|"2015-11-10 10:53:39"|1|"es"||"Pasto "|"Facultad de Ciencias Pecuarias"|"Ingeniería en Producción Acuícola"|5|"Masculino"|"3=Regular"|"3=Regular"|"3=Regular"|"5=Excelente"|"4=Bueno"|"5=Excelente"|"5=Excelente"|"4=Bueno"|"3=Regular"|"4=Bueno"|"3=Regular"|"3=Regular"|"4=Bueno"|"4=Bueno"|"5=Excelente"|"3=Regular"|"no hay transporte"|"que se enfoque mas a la vida cotidiana y el desempeño de la carrera practica ya que eso nos va a servir en un futuro mas que muchas agendas llenas."|
149|301|"2015-11-10 10:58:00"|1|"es"||"Pasto "|"Facultad de Ciencias Pecuarias"|"Ingeniería en Producción Acuícola"|5|"Femenino"|"4=Bueno"|"3=Regular"|"4=Bueno"|"5=Excelente"|"3=Regular"|"5=Excelente"|"5=Excelente"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"2=Malo"|"4=Bueno"|"5=Excelente"|"3=Regular"|"practicas academicas se cumplan mejorar el transporte"|" no se puede realizar las practicas academicas se opta por realizar trabajos en clase"|
150|302|"2015-11-10 11:36:20"|1|"es"||"Pasto "|"Facultad de Ciencias Exactas y Naturales"|"Biología"|10|"Femenino"|"5=Excelente"|"5=Excelente"|"2=Malo"|"3=Regular"|"3=Regular"|"4=Bueno"|"3=Regular"|"5=Excelente"|"5=Excelente"|"5=Excelente"|"5=Excelente"|"2=Malo"|"1=Muy Malo"|"1=Muy Malo"|"4=Bueno"|"5=Excelente"||"Debería mejorarse el enfoque que se tiene sobre la biología dirigida a seres humanos. "|
